,question_id,question,relevant_articles,question_length,num_articles,relevant_titles
927,a99b67ded3e927d0ca0dc43715f7ac72,"Công bố bản án, quyết định tòa án đối với doanh nghiệp nhỏ và vừa trên cổng thông tin điện tử được quy định như thế nào?","[{'law_id': '55/2019/nđ-cp', 'article_id': '7'}]",27,1,['55/2019/nđ-cp']
533,211b40a2fe7b3c36ec83d3fc2323ae89,"Mức phạt nếu ngồi trên tay lái mô tô, xe gắn máy ?","[{'law_id': '100/2019/nđ-cp', 'article_id': '11'}]",13,1,['100/2019/nđ-cp']
1427,c9ce05ae7dd0a3b4c52c474284c49c61,Quy định về thời hạn công nhận tiến bộ khi xử lý kỷ luật trong quốc phòng được quy định như thế nào?,"[{'law_id': '16/2020/tt-bqp', 'article_id': '44'}]",23,1,['16/2020/tt-bqp']
2614,ea27c772d8ee975b361c18203ff391b3,Hành vi cản trở việc xử lý hành vi bạo lực gia đình bị xử lý ra sao?,"[{'law_id': '167/2013/nđ-cp', 'article_id': '60'}]",18,1,['167/2013/nđ-cp']
1993,92ef0b467f3ac17f150094bfb95260d9,Mức phạt nhân viên phục vụ trên xe khách sang nhượng khách dọc đường cho xe khác mà không được đồng ý được quy định như thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '31'}]",28,1,['100/2019/nđ-cp']
2514,d36ef3b080087ed7690fc553f8b182f4,Thời gian khóa học và thời gian tổ chức giảng dạy từ xa trình độ sơ cấp được quy định như thế nào?,"[{'law_id': '33/2018/tt-blđtbxh', 'article_id': '7'}]",23,1,['33/2018/tt-blđtbxh']
2549,7834f90147d188fc2efd5581d9f151ed,Để súc vật kéo xe mà không có người điều khiển bị phạt thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '10'}]",15,1,['100/2019/nđ-cp']
2257,ca9a29022034fd19ae5594e690880736,Giấy chứng nhận đăng ký hoạt động lưu ký chứng khoán được cấp trong bao lâu?,"[{'law_id': '54/2019/qh14', 'article_id': '59'}]",16,1,['54/2019/qh14']
3148,c6d446be151d546a758b051934455ff5,Gia công hàng hóa là quân phục có yếu tố nước ngoài có được tiêu thụ tại Việt Nam không?,"[{'law_id': '69/2018/nđ-cp', 'article_id': '47'}]",20,1,['69/2018/nđ-cp']
2917,555d9c931fda914958da74079bf37143,Điều khiển xe ô tô cản trở xe ưu tiên sẽ bị xử phạt bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",16,1,['100/2019/nđ-cp']
1988,ab2079ff00d3b97c832f27dd7ae0989e,Thế nào là thành viên tạo lập thị trường?,"[{'law_id': '158/2020/nđ-cp', 'article_id': '3'}]",9,1,['158/2020/nđ-cp']
1064,8bf4d65cd1a0059b6f2ffadfcc3e8bf0,Báo cáo dữ liệu tiêu thụ nhiên liệu của tàu biển tới Bộ Giao thông vận tải và IMO được quy định như thế nào?,"[{'law_id': '40/2018/tt-bgtvt', 'article_id': '9'}]",25,1,['40/2018/tt-bgtvt']
