question_id,segmented_question
8e2cfe626cebf209f94e0db8f147960c,"Mức xử_phạt đối_với hành_vi không tổ_chức khám sức_khoẻ định_kỳ , khám bệnh_nghề_nghiệp cho người lao_động được quy_định như_thế_nào ?"
0a32724630653580cc90c77bcf552baf,Tranh_chấp giữa cơ_quan ký_kết hợp_đồng dự_án PPP với nhà_đầu_tư trong nước thuộc thẩm_quyền giải_quyết của cơ_quan nào ?
e66ae5eecc1672bac2c5799673666bda,"Trình_tự cấp , cấp lại Giấy chứng_nhận đủ điều_kiện sản_xuất sản_phẩm xử_lý môi_trường nuôi_trồng thuỷ_sản được quy_định như_thế_nào ?"
6b815a5b10736472101034aa8bd58146,Thành_viên hợp danh thì có được làm chủ doanh_nghiệp không ?
4d4ed6ef19708f3e18fef48e4786a06e,Luật_sư có được miễn đào_tạo nghề đấu_giá hay không ?
14abaff7da7786919278833e8114b56a,Quy_định về thời_gian tổ_chức diễn_đàn trẻ_em được quy_định như_thế_nào ?
211e29e456a552969de2e7a4b9e59ddc,Bồi_dưỡng kiến_thức về hoạt_động đo_đạc và bản_đồ được quy_định như_thế_nào ?
027ee1d7ec4e69f6f8dcaecbe308ff71,Quy_định về quy_trình lựa_chọn nhà_thầu mua vé máy_bay đối_với đoàn đi công_tác trong nước
f6df72b03058b20076c6dd10e863afbc,Hội_đồng sáng_kiến cấp cơ_sở được thành_lập như_thế_nào ?
3e1d2700a2d01d9f1badc61019c673cf,"Việc quản_lý cơ_sở_dữ_liệu về sự_cố , tai_nạn giao_thông đường_sắt được quy_định như_thế_nào ?"
25fe8297a9c55e001658a5a8b559f841,Mức phạt nếu thông_báo không đúng về bưu_chính khi có thay_đổi liên_quan đến văn_bản xác_nhận thông_báo hoạt_động được quy_định như_thế_nào ?
92c053a4f1d981c6d74483f319270ea4,Hành_vi vượt xe_máy trong hầm đường_bộ không đúng nơi quy_định sẽ bị xử_phạt bao_nhiêu ?
35a381c5475b165e5959b7a8961e4831,"Quy_định về trình_tự thông_báo kết_quả xét_nghiệm HIV dương_tính cho nhân_viên y_tế trực_tiếp tham_gia chăm_sóc , điều_trị người bị nhiễm HIV"
1409c388d28ba3e54ec3ded95be73025,Trưởng tàu cho tàu chạy khi chưa nhận được tín_hiệu an_toàn bị phạt bao_nhiêu tiền ?
2e296d3bf203dcce555b4113a51e07ad,Trách_nhiệm của Cảng_vụ Hàng_hải Nha_Trang được quy_định như_thế_nào ?
cb6736f4053e104d20b7461e4cbeef54,Vốn hoạt_động của Cục Đăng_kiểm Việt_Nam gồm những nguồn nào ?
bbdf6400c8e854b38d6c3cc6b6f16e7f,"Xuất_bản tài_liệu , tờ_rơi , tờ_gấp , bản_đồ , lịch , tranh , ảnh của cơ_quan đại_diện nước_ngoài , tổ_chức nước_ngoài tại Việt_Nam được quy_định như_thế_nào ?"
